first_name,last_name,location,age,felon,sat,act,gpa
Brandon,Schmidt,FL,54,false,2064,32,0.9
Margaret,Perkins,IL,44,true,1888,27,0.9
Charles,Ryan,TX,42,false,1985,40,0.8
Lisa,Reed,MA,34,false,1649,26,1.0
Katherine,Nelson,NC,58,false,1514,42,0.7
Harold,Adams,LA,20,true,2017,38,0.9
William,Stewart,OK,71,true,1963,9,0.7
Theresa,Fields,NE,65,false,1718,24,0.7
Helen,Frazier,PA,15,true,1798,16,0.8
Carlos,Banks,FL,73,false,1686,39,1.0
Rachel,Watkins,MN,79,false,1724,26,1.0
Carlos,Harper,CO,87,true,2069,38,0.8
Matthew,Gray,UT,85,true,1798,29,0.9
Andrew,Green,TX,79,false,2321,14,0.7
Chris,Harvey,NY,35,true,1912,26,0.8
Kathy,Porter,MD,78,true,2640,41,0.9
Christopher,Ray,CO,47,true,1945,-1,0.9
Douglas,George,CT,44,false,1755,21,0.8
Margaret,Hughes,KS,55,true,1938,29,0.7
Todd,Bailey,IL,31,false,1941,16,0.8
Karen,Ellis,IN,42,true,2005,24,0.9
Fred,Mendoza,NV,27,false,1941,25,0.8
Ruth,Howell,IL,69,false,1562,44,0.9
Norma,Reynolds,NC,78,true,2257,37,0.7
Louise,Gonzales,VA,82,true,2018,26,0.9
Victor,James,AZ,48,false,2627,45,0.7
Kenneth,Lee,NM,38,true,2166,22,0.8
Antonio,Carpenter,WV,80,true,1840,28,0.6
Sharon,Jones,VA,65,false,2451,26,0.8
Jimmy,Hughes,TX,40,false,1679,38,0.6
Jeremy,Dunn,CA,20,false,1507,12,0.9
Stephanie,Schmidt,PA,34,true,2113,24,0.8
Ruth,Cole,TX,62,true,1762,23,0.8
John,Fox,ME,43,false,2343,20,0.8
Teresa,King,NY,34,true,1819,22,0.6
Lois,Barnes,VA,52,true,2006,19,0.9
Rebecca,Brooks,TN,58,true,1830,15,0.8
Jeremy,Wallace,NC,30,false,1568,47,0.8
Justin,Bishop,DC,41,true,1916,24,0.9
Julia,Fox,WA,59,true,2221,30,0.9
Daniel,Spencer,NH,89,true,1682,44,0.7
Rachel,Griffin,CA,22,false,1616,23,1.2
John,Peters,NC,53,true,1668,30,0.9
Earl,Spencer,FL,28,false,2208,34,0.8
Clarence,Warren,UT,29,true,1838,16,0.8
Ralph,Cook,CA,33,true,2123,36,0.8
Judith,Long,WV,50,true,2327,43,0.8
Catherine,Garza,TX,81,true,1835,16,0.9
Dorothy,Frazier,NY,17,false,2252,28,0.8
Ann,Dunn,MN,46,true,1816,17,0.7
Barbara,Kennedy,CA,37,true,1881,32,0.9
Louise,Young,TX,85,true,2230,22,0.9
Emily,George,DC,85,true,1983,30,0.7
Deborah,Cunningham,DC,83,true,1839,42,0.8
Robert,Jackson,AL,42,false,2474,5,0.8
Betty,Oliver,NY,48,false,1797,27,0.9
Jean,Evans,VA,34,false,2123,27,0.8
Daniel,Rogers,VA,40,false,1780,26,0.8
Russell,Thomas,TX,86,false,2144,34,1.0
Linda,Bennett,AZ,22,false,1797,12,0.7
Jane,Davis,WA,15,false,2617,36,0.7
Randy,Duncan,NY,52,true,2226,29,0.7
Russell,Howard,TX,26,false,1973,25,0.7
Jean,Lawson,CA,36,true,1841,17,0.8
Kathleen,Baker,TX,20,true,2034,32,0.7
Jonathan,Hill,MD,76,false,1888,22,0.5
Jesse,Elliott,CA,86,true,1843,20,0.8
Daniel,Davis,GA,89,false,1877,25,0.8
Brian,Davis,DC,52,true,2408,12,0.6
Jose,Long,NC,43,false,2302,18,0.7
Lori,Carpenter,LA,69,false,2247,21,0.8
Lawrence,Richardson,GA,35,true,1666,37,0.7
Albert,Powell,OH,20,true,2125,25,0.8
Donald,Duncan,LA,37,true,1950,22,0.9
Adam,Morales,IN,46,false,1489,59,0.7
Rachel,Freeman,OH,82,true,1686,34,0.8
Fred,Vasquez,PA,40,true,1724,41,0.9
Gregory,Harper,GA,20,false,2072,38,0.7
Doris,Hamilton,NY,69,true,1799,31,0.8
Diane,Carpenter,KY,43,true,1839,29,0.7
Jason,Gonzales,CA,52,true,1937,34,0.8
Linda,Hill,NY,54,false,1909,18,0.8
Melissa,Fields,NC,66,true,1749,29,0.9
Joe,Bailey,TX,21,false,1534,37,1.0
Gary,Black,TX,83,false,1764,28,0.8
Phyllis,Riley,CO,69,false,1459,24,0.6
Ralph,Graham,WV,81,false,1688,27,0.8
Stephen,Scott,NC,30,true,1889,34,1.0
Ann,Gray,MN,40,false,1734,22,0.9
Walter,Ryan,PA,37,true,1408,7,0.8
Robin,Hernandez,IL,38,false,2138,29,0.7
Jane,Green,LA,35,false,1963,27,0.7
Christine,Sullivan,TN,85,true,1995,37,0.8
Patricia,King,LA,85,false,2331,21,0.8
Sean,Ward,CA,33,false,2023,38,0.8
Donald,Scott,NJ,38,false,1390,35,1.0
Henry,Kennedy,AL,65,true,1810,12,0.7
Jack,Robertson,NM,73,true,2263,26,0.6
Janice,Wells,FL,33,false,1474,29,1.0
Scott,Patterson,WA,52,false,1362,21,0.9
Julie,Reyes,OH,83,true,2171,30,0.9
Bonnie,Lawrence,FL,73,false,2148,30,0.8
Robin,Willis,CA,48,true,1898,37,0.7
Debra,Garza,TX,49,true,2294,29,0.8
Wanda,Stone,FL,35,false,1708,31,0.6
Lori,Mills,OK,33,false,2133,25,0.8
Jessica,Fisher,PA,41,false,1459,34,1.0
Thomas,Nguyen,MI,64,true,1655,35,0.7
Sara,Matthews,DC,74,false,1286,50,0.7
Donna,Bowman,TX,89,false,1523,43,0.7
